Menu_Item_ID,Customizable_Builds,Customizable_Build_ID,Year,Restaurant,Food_Category,Item_Name,Item_Description,Serving_Size,Serving_Size_text,Serving_Size_Unit,Serving_Size_household,Calories,Total_Fat,Saturated_Fat,Trans_Fat,Cholesterol,Sodium,Potassium,Carbohydrates,Protein,Sugar,Dietary_Fiber,Calories_100g,Total_Fat_100g,Saturated_Fat_100g,Trans_Fat_100g,Cholesterol_100g,Sodium_100g,Potassium_100g,Carbohydrates_100g,Protein_100g,Sugar_100g,Dietary_Fiber_100g,Calories_text,Total_Fat_text,Saturated_Fat_text,Trans_Fat_text,Cholesterol_text,Sodium_text,Potassium_text,Carbohydrates_text,Protein_text,Sugar_text,Dietary_Fiber_text,Kids_Meal,Limited_Time_Offer,Regional,Shareable,Combo_Meal
25566,,,2008,White Castle,Beverages,"Pibb Xtra, Medium","Pibb Xtra, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,330,0,0,0,0,50,,90,0,90,0,36,0,0,0,0,6,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25567,,,2008,White Castle,Beverages,"Pibb Xtra, Large","Pibb Xtra, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,460,0,0,0,0,70,,124,0,123,0,37,0,0,0,0,6,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25569,,,2008,White Castle,Beverages,"Powerade Mountain Blast, Small","Powerade Mountain Blast, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,140,0,0,0,0,119,,38,0,33,0,24,0,0,0,0,20,,6,0,6,0,,,,,,,,,,,,0,0,0,0,0
25570,,,2008,White Castle,Beverages,"Powerade Mountain Blast, Medium","Powerade Mountain Blast, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,220,0,0,0,0,182,,58,0,51,0,24,0,0,0,0,20,,6,0,6,0,,,,,,,,,,,,0,0,0,0,0
25571,,,2008,White Castle,Beverages,"Powerade Mountain Blast, Large","Powerade Mountain Blast, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,300,0,0,0,0,250,,79,0,70,0,24,0,0,0,0,20,,6,0,6,0,,,,,,,,,,,,0,0,0,0,0
25573,,,2008,White Castle,Beverages,"Sprite, Small","Sprite, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,220,0,0,0,0,50,,59,0,59,0,37,0,0,0,0,8,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25574,,,2008,White Castle,Beverages,"Sprite, Medium","Sprite, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,330,0,0,0,0,80,,89,0,89,0,36,0,0,0,0,9,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25575,,,2008,White Castle,Beverages,"Sprite, Large","Sprite, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,460,0,0,0,0,105,,123,0,123,0,37,0,0,0,0,8,,10,0,10,0,,,,,,,,,,,,0,0,0,0,0
25577,,,2008,White Castle,Beverages,"Vault, Small","Vault, Carbonated Soft Drinks, Beverages, Small, 21 fl oz",21,,fl oz,,260,0,0,0,0,20,,64,0,64,0,44,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25578,,,2008,White Castle,Beverages,"Vault, Medium","Vault, Carbonated Soft Drinks, Beverages, Medium, 32 fl oz",32,,fl oz,,390,0,0,0,0,30,,97,0,97,0,43,0,0,0,0,3,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
25579,,,2008,White Castle,Beverages,"Vault, Large","Vault, Carbonated Soft Drinks, Beverages, Large, 44 fl oz",44,,fl oz,,540,0,0,0,0,45,,134,0,134,0,43,0,0,0,0,4,,11,0,11,0,,,,,,,,,,,,0,0,0,0,0
2558,,,2008,Papa Murphy's,Pizza,"Herb Chicken Mediterranean DeLITE, Large Size Thin Crust Pizza","Herb Chicken Mediterranean DeLITE, Large Size Thin Crust Pizza, Pizzas, 1 Slice",68,,g,"1 Slice, 1/10 Pizza",180,9,4,0,24,341,,155,10,3,15,265,13,6,0,35,501,,23,15,4,2,,,,,,,,,,,,0,0,0,0,0
25581,,,2008,White Castle,Beverages,"Crave Cooler Coke, Small","Crave Cooler Coke, Crave Coolers, Beverages, Small, 21 fl oz",21,,fl oz,,150,0,0,0,0,15,,134,0,134,0,25,0,0,0,0,3,,23,0,23,0,,,,,,,,,,,,0,0,0,0,0
