item_id,year,item_name,item_description
21979,2012,"Mozzarella, for Regular Sandwiches","Mozzarella, for Regular Sandwiches"
21980,2012,"Mozzarella, for Sammies","Mozzarella, for Sammies"
21981,2012,"Mozzarella, for Small Sandwiches","Mozzarella, for Small Sandwiches"
21982,2012,"Mozzarella, for Torpedo Sandwiches","Mozzarella, for Torpedo Sandwiches"
21983,2012,"Mozzarella, for Large Sandwiches","Mozzarella, for Large Sandwiches"
21984,2012,"Mushrooms, for Sammies","Mushrooms, for Sammies"
21986,2012,"Peppercorn Caesar, for Small Salads","Peppercorn Caesar, for Small Salads"
21989,2012,"Pepperoni, for Bullet Sandwiches","Pepperoni, for Bullet Sandwiches"
2199,2012,"Crunchy Thin Crust, Philly Cheese Steak Feast, Medium, 12''","Crunchy Thin Crust, Philly Cheese Steak Feast, Medium, 12''"
21990,2012,"Pepperoni, for Sammies","Pepperoni, for Sammies"
21991,2012,"Pepperoni, for Torpedo Sandwiches","Pepperoni, for Torpedo Sandwiches"
21992,2012,"Pepperoni, for Large Sandwiches","Pepperoni, for Large Sandwiches"
21993,2012,"Pickles, for Large Sandwiches","Pickles, for Large Sandwiches"
21994,2012,"Pickles, for Regular Sandwiches","Pickles, for Regular Sandwiches"
21995,2012,"Pickles, for Small Sandwiches","Pickles, for Small Sandwiches"
21996,2012,"Prime Rib, for Large Sandwiches","Prime Rib, for Large Sandwiches"
21997,2012,"Prime Rib, for Regular Sandwiches","Prime Rib, for Regular Sandwiches"
21998,2012,"Prime Rib, for Small Sandwiches","Prime Rib, for Small Sandwiches"
21999,2012,"Pulled Pork, for Cuban Pulled Pork Sandwich, Large","Pulled Pork, for Cuban Pulled Pork Sandwich, Large"
220,2012,Grilled Portobello 'n Swiss Steakburger,Grilled Portobello 'n Swiss Steakburger
22000,2012,"Pulled Pork, for Cuban Pulled Pork Sandwich, Regular","Pulled Pork, for Cuban Pulled Pork Sandwich, Regular"
