item_id,year,r_id,cat_id,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,potassium,carbs,protein,sugar,dietary_Fiber
45327,2018,45,9,570.0,20.0,9.5,0.0,60.0,2095.0,,64.0,33.0,8.0,4.0
45328,2018,45,9,570.0,20.0,9.5,0.0,60.0,2075.0,,63.0,33.0,11.0,4.0
45334,2018,45,9,570.0,20.5,10.0,0.0,75.0,2265.0,,63.0,35.0,6.0,6.0
45336,2018,45,9,570.0,20.5,10.5,0.0,75.0,2435.0,,63.0,35.0,8.0,4.0
45337,2018,45,9,570.0,20.5,10.5,0.0,75.0,2415.0,,62.0,35.0,11.0,4.0
45338,2018,45,9,560.0,20.5,10.0,0.0,75.0,2335.0,,61.0,35.0,5.0,7.0
45339,2018,45,9,560.0,20.0,9.0,0.0,60.0,1995.0,,62.0,33.0,5.0,7.0
45340,2018,45,9,590.0,21.0,10.0,0.0,80.0,2300.0,,64.0,37.0,6.0,6.0
45342,2018,45,9,590.0,21.0,10.5,0.0,80.0,2470.0,,64.0,37.0,8.0,4.0
45343,2018,45,9,590.0,21.0,10.5,0.0,80.0,2450.0,,63.0,37.0,11.0,4.0
45344,2018,45,9,590.0,21.0,10.0,0.0,80.0,2370.0,,62.0,37.0,5.0,7.0
45345,2018,45,9,720.0,29.5,12.5,0.0,120.0,1045.0,,60.0,55.0,6.0,6.0
45347,2018,45,9,720.0,29.5,13.0,0.0,120.0,1215.0,,60.0,55.0,8.0,4.0
45348,2018,45,9,720.0,29.5,13.0,0.0,120.0,1195.0,,59.0,55.0,11.0,4.0
45349,2018,45,9,720.0,29.5,12.5,0.0,120.0,1115.0,,58.0,55.0,5.0,7.0
45350,2018,45,9,550.0,18.0,8.5,0.0,60.0,1805.0,,60.0,38.0,6.0,6.0
45352,2018,45,9,550.0,18.0,9.0,0.0,60.0,1975.0,,60.0,38.0,8.0,4.0
45353,2018,45,9,550.0,18.0,9.0,0.0,60.0,1955.0,,59.0,38.0,11.0,4.0
45354,2018,45,9,540.0,18.0,8.5,0.0,60.0,1875.0,,58.0,38.0,5.0,7.0
45355,2018,45,9,880.0,51.0,16.0,0.0,110.0,2530.0,,63.0,43.0,6.0,6.0
45357,2018,45,9,880.0,51.0,16.5,0.0,110.0,2700.0,,63.0,43.0,8.0,4.0
45358,2018,45,9,880.0,51.0,16.5,0.0,110.0,2680.0,,62.0,43.0,11.0,4.0
45359,2018,45,9,880.0,51.0,16.0,0.0,110.0,2600.0,,61.0,43.0,5.0,7.0
45360,2018,45,9,960.0,54.5,16.5,0.0,145.0,1895.0,,62.0,56.0,6.0,6.0
45362,2018,45,9,960.0,54.5,17.0,0.0,145.0,2065.0,,62.0,56.0,8.0,4.0
45363,2018,45,9,960.0,54.5,17.0,0.0,145.0,2045.0,,61.0,56.0,11.0,4.0
45364,2018,45,9,950.0,54.5,16.5,0.0,145.0,1965.0,,60.0,56.0,5.0,7.0
